key_										count_		count_wiki	count_multi	count_semi	count_single	
abandoned:hut									1		0		0		0		1		
abandoned:iata									2		0		0		0		2		
abandoned:icao									3		0		0		0		3		
abandoned:incline								6		0		0		0		2		
abandoned:indoor								3		0		0		0		1		
abandoned:industrial								57		0		0		0		17		
abandoned:informal								1		0		0		0		1		
abandoned:internet_access							1		0		0		0		1		
abandoned:int_ref								24		0		0		0		4		
abandoned:inundation_lock							3		0		0		0		1		
abandoned:irrigation								77		0		0		0		1		
abandoned:jel									1		0		0		0		1		
abandoned:junction								2		0		0		0		1		
abandoned:kiln:type								1		0		0		0		1		
abandoned:kvl_hro:type								1		0		0		0		1		
abandoned:landfill								1		0		0		0		1		
abandoned:landues								1		0		0		0		1		
abandoned:landuse								3091		0		0		0		53		
abandoned:lanes									49		0		0		0		4		
abandoned:lavoir								1		0		0		0		1		
abandoned:layer									15		0		0		0		4		
abandoned:leisure								620		0		0		0		32		
abandoned:level									4		0		0		2		1		
abandoned:line									1		0		0		0		1		
abandoned:lit									8		0		0		0		1		
abandoned:local_ref								2		0		0		0		2		
abandoned:lock									7		0		0		0		1		
abandoned:loc_name								17		0		0		0		2		
abandoned:loc_ref								1		0		0		0		1		
abandoned:man_made								1189		0		0		0		51		
abandoned:material								1		0		0		0		1		
abandoned:maxspeed								155		0		0		0		16		
abandoned:maxspeed:conditional							65		0		0		0		1		
abandoned:maxspeed:freight							39		0		0		0		4		
abandoned:maxwidth								1		0		0		0		1		
abandoned:medical_system:western						1		0		0		0		1		
abandoned:meter_load								9		0		0		0		1		
abandoned:military								1814		0		0		0		59		
abandoned:mineshaft_type							1		0		0		0		1		
abandoned:motorcar								5		0		0		0		3		
abandoned:motorcycle								3		0		0		0		2		
abandoned:motorroad								103		0		0		0		1		
abandoned:motor_vehicle								1		0		0		0		1		
abandoned:mtb									1		0		0		0		1		
abandoned:mtb:scale								6		0		0		0		3		
abandoned:mtb:scale:uphill							1		0		0		0		1		
abandoned:name									1838		0		0		0		312		
abandoned:name:en								2		0		0		0		1		
abandoned:name:fi								1		0		0		0		1		
abandoned:name:hsb								1		0		0		0		1		
abandoned:name:ja								4		0		0		0		2		
