key_								count_		count_wiki	count_multi	count_semi	count_single	
abandoned:police						7		0		0		0		1		
abandoned:population						1		0		0		0		1		
abandoned:power							4092		0		0		0		15		
abandoned:product						1		0		0		0		1		
abandoned:public_transport					187		0		0		0		4		
abandoned:pump							4		0		0		0		1		
abandoned:quarry						5		0		0		0		1		
abandoned:railbed						1		0		0		0		1		
abandoned:railway						7245		0		0		0		44		
abandoned:railway:level_crossing				1		0		0		0		1		
abandoned:railway:local_operated				7		0		0		0		2		
abandoned:railway:maxspeed:diverging				1		0		0		0		1		
abandoned:railway:maxspeed:straight				1		0		0		0		1		
abandoned:railway:position					3		0		0		0		3		
abandoned:railway:ref						48		0		0		0		48		
abandoned:railway:signal:catenary_mast				2		0		0		0		1		
abandoned:railway:signal:combined:function			1		0		0		0		1		
abandoned:railway:signal:direction				2		0		0		0		1		
abandoned:railway:signal:main:form				1		0		0		0		1		
abandoned:railway:signal:main:function				1		0		0		0		1		
abandoned:railway:signal:position				2		0		0		0		2		
abandoned:railway:signal:shunting:form				1		0		0		0		1		
abandoned:railway:signal:shunting:states			1		0		0		1		0		
abandoned:railway:station_category				1		0		0		0		1		
abandoned:railway:switch					49		0		0		0		3		
abandoned:railway:switch:electric				7		0		0		0		1		
abandoned:railway:switch:heated					1		0		0		0		1		
abandoned:railway:turnout_side					6		0		0		0		2		
abandoned:recycling_type					1		0		0		0		1		
abandoned:ref							37		0		0		0		37		
abandoned:ref:ifopt						11		0		0		0		11		
abandoned:religion						3		0		0		0		1		
abandoned:resort						1		0		0		0		1		
abandoned:safety_rope						1		0		0		0		1		
abandoned:school						1		0		0		0		1		
abandoned:screen						1		0		0		0		1		
abandoned:service						4		0		0		0		2		
abandoned:service:bicycle:pump					1		0		0		0		1		
abandoned:service:bicycle:repair				1		0		0		0		1		
abandoned:service:bicycle:retail				1		0		0		0		1		
abandoned:shelter_type						8		0		0		0		3		
abandoned:shooting						4		0		0		0		2		
abandoned:shop							348		0		0		1		72		
abandoned:short_name						1		0		0		0		1		
abandoned:site							6		0		0		0		2		
abandoned:site_type						1		0		0		0		1		
abandoned:smoking						2		0		0		0		1		
abandoned:social_facility					1		0		0		0		1		
abandoned:social_facility:for					1		0		0		0		1		
abandoned:source						1		0		0		0		1		
abandoned:source:addr						1		0		0		0		1		
abandoned:source_ref						1		0		0		0		1		
abandoned:space							1		0		0		0		1		
abandoned:species						1		0		0		0		1		
abandoned:sport							18		0		0		0		8		
abandoned:stars							1		0		0		0		1		
abandoned:start_date						2		0		0		0		2		
abandoned:station						2		0		0		0		1		
abandoned:substation						9		0		0		0		3		
abandoned:surveillance						1		0		0		0		1		
abandoned:surveillance:type					1		0		0		0		1		
abandoned:surveillance:zone					1		0		0		0		1		
abandoned:tactile_paving					2		0		0		0		1		
abandoned:telecom						2		0		0		0		1		
abandoned:tents							1		0		0		0		1		
abandoned:toilets:disposal					1		0		0		0		1		
abandoned:tourism						252		0		0		0		20		
abandoned:tower:type						13		0		0		0		2		
abandoned:traffic_calming					8		0		0		0		4		
abandoned:traffic_sign						1		0		0		0		1		
abandoned:traffic_sign:backward					1		0		0		0		1		
abandoned:traffic_sign:forward					4		0		0		0		4		
abandoned:train							33		0		0		0		1		
abandoned:tram							5		0		0		0		1		
abandoned:transformer						6		0		0		0		1		
abandoned:tunnel						1		0		0		0		1		
abandoned:type							5		0		0		0		2		
abandoned:uic_name						2		0		0		0		2		
abandoned:uic_ref						4		0		0		0		3		
abandoned:usage							2		0		0		0		1		
abandoned:vehicle						10		0		0		0		1		
abandoned:vending						16		0		0		0		4		
abandoned:village						42		0		0		0		6		
abandoned:water							2		0		0		0		2		
abandoned:watermill						1		0		0		0		1		
abandoned:waterway						39		0		0		0		6		
abandoned:water_well						2		0		0		0		1		
abandoned:website						17		0		0		0		17		
abandoned:well:type						1		0		0		0		1		
abandoned:wheelchair						13		0		0		0		3		
abandoned:xmas:day_date						2		0		0		0		2		
abandoned:xmas:description					2		0		0		0		2		
abandoned:xmas:feature						2		0		0		0		2		
abandoned:xmas:fee						2		0		0		0		1		
abandoned:xmas:location						2		0		0		0		2		
abandoned:xmas:name						2		0		0		0		2		
abandoned:xmas:opening_hours					2		0		0		0		1		
abandoned:xmas:url						2		0		0		0		1		
abandoned_amenity						1		0		0		0		1		
abandoned_name							1		0		0		0		1		
abandoned_place							1		0		0		0		1		
abandonned:railway						1		0		0		0		1		
abandon_date							14		0		0		0		2		
abbr								6		0		0		0		6		
abbr:alt_name							1		0		0		0		1		
abbr:barangay							1		0		0		0		1		
abbr:name							3		0		0		0		2		
abbreviation							58		0		0		1		57		
abbr_name							153		0		0		0		125		
abbr_name:en							2		0		0		0		2		
abelles								2		0		0		0		1		
abi								1		0		0		0		1		
abn								1		0		0		0		1		
abonded:place							83		0		0		0		1		
abonent								1		0		0		0		1		
about								1		0		0		0		1		
about:url							2		0		0		0		2		
abseil_place							1		0		0		0		1		
abseil_place:high						1		0		0		0		1		
abutment							6		0		0		0		1		
abutters							83		0		0		0		10		
abyss								1		0		0		0		1		
aca:classification						1		0		0		0		1		
aca:classification:ja						1		0		0		0		1		
aca:criteria							1		0		0		0		1		
aca:inscription_date						2		0		0		0		2		
academic							5		0		0		0		3		
acc								3		0		0		0		3		
accepts								1		0		0		0		1		
accepts:count							1		0		0		0		1		
accepts:glass							1		0		0		0		1		
accepts:other							1		0		0		0		1		
access								1261928		19		0		96		1267		
access:age							1		0		0		0		1		
access:backward							9		0		0		0		3		
access:backward:conditional					1		0		0		0		1		
access:bicycle							30		0		0		0		3		
access:bike							1		0		0		0		1		
access:blind							7		0		0		0		3		
access:bus							30		0		0		0		3		
access:buying							1		0		0		0		1		
access:cafe							1		0		0		0		1		
access:camper							1		0		0		0		1		
access:canoe							1		0		0		0		1		
access:car							5		0		0		0		3		
access:caravan							15		0		0		0		3		
access:carsharing						1		0		0		0		1		
access:cern							15		0		0		0		2		
access:citizenship						335		0		0		8		4		
access:compressed_air						26		0		0		0		1		
access:conditional						2939		0		0		144		619		
access:conditional_1						1		0		0		0		1		
access:covid19							5496		0		0		0		12		
access:customer							18		0		0		0		3		
access:date_off							5		0		0		0		3		
access:date_on							5		0		0		0		3		
access:deaf							8		0		0		0		3		
access:defibrillator						2		0		0		0		1		
access:delivery							284		0		0		0		3		
access:description						62		0		0		1		44		
access:description:en						1		0		0		0		1		
access:direction						4		0		0		0		4		
access:disabled							394		0		0		0		5		
access:dog							7		0		0		0		2		
access:dogs							22		0		0		0		3		
access:emergency						73		0		0		0		2		
access:employee							20		0		0		0		2		
access:explosives						1		0		0		0		1		
access:fee							3		0		0		0		2		
access:ferry							3		0		0		0		1		
access:foot							54		0		0		0		7		
access:for							2		0		0		0		1		
access:forestry							1		0		0		0		1		
access:forward							4		0		0		0		1		
access:forward:conditional					1		0		0		0		1		
access:fuel:cng							2		0		0		0		1		
access:fuel:lpg							29		0		0		0		1		
access:gender							2		0		0		0		2		
access:goat							1		0		0		0		1		
access:hazmat							2		0		0		0		1		
access:hgv							27		0		0		0		6		
access:horse							8		0		0		0		3		
access:hour_off							3		0		0		0		3		
access:hour_on							2		0		0		0		2		
access:ice							8		0		0		0		3		
access:icy							2		0		0		0		1		
access:in							3		0		0		0		2		
access:key							17		0		0		0		3		
access:lanes							1		0		1		0		0		
access:lpg							18		0		0		0		1		
access:man							1		0		0		0		1		
access:mental_disabled						7		0		0		0		3		
access:military							1		0		0		0		1		
access:minibus							10		0		0		0		3		
access:moped							4		0		0		0		2		
access:motor							6		0		0		0		2		
access:motorcar							8		0		0		0		3		
access:motorcycle						3		0		0		0		3		
access:motorhome						11		0		0		0		2		
access:motorized.time						4		0		0		0		1		
access:motor_vehicle						10		0		0		0		3		
access:motor_vehicle:conditional				6		0		0		1		4		
access:n3							1		0		0		0		1		
access:night							21		0		0		0		1		
access:non_dancers						1		0		0		0		1		
access:note							23		0		0		0		21		
access:note:de							1		0		0		0		1		
access:opening_hours						2		0		0		2		0		
access:out							1		0		0		0		1		
access:parent							11		0		0		0		3		
access:period							1		0		0		0		1		
access:psv							7		0		0		0		1		
access:ratp							60		0		0		0		1		
access:resident							2		0		0		0		2		
access:residents						2		0		0		0		2		
access:restriction						1		0		0		0		1		
access:role							175		0		0		0		1		
access:roller_skates						1		0		0		0		1		
access:roof							382		0		0		0		2		
access:sa-su							1		0		0		0		1		
access:school							1		0		0		0		1		
access:seasonal							1		0		0		0		1		
access:service:bicycle:pump					26		0		0		0		1		
access:shop							1		0		0		0		1		
access:smartcard						1		0		0		0		1		
access:sncf							1		0		0		0		1		
access:snow							2		0		0		0		1		
access:snowmobile						1		0		0		0		1		
access:source							3		0		0		0		2		
access:swell							8		0		0		0		2		
access:tidal_range						5		0		0		0		4		
access:tide							29		0		0		0		5		
access:time							5		0		0		0		4		
access:tourist							1		0		0		0		1		
access:value							1		0		0		0		1		
access:vehicle							14		0		0		0		2		
access:visitor							15		0		0		0		2		
access:visitors							16		0		0		0		2		
access:wheelchair						7		0		0		0		4		
access:windy							2		0		0		0		1		
access:winter							1		0		0		0		1		
access:women							2		0		0		0		1		
accesscharging_station:capacity					1		0		0		0		1		
accessfrom							8		0		0		0		5		
accessibility							834		0		0		2		27		
accessibility_source						1574		0		0		0		1		
accessible							7		0		0		0		3		
accessiblity							1		0		0		0		1		
accessories							7		0		0		0		4		
accessvia							1		0		0		0		1		
access_1							10		0		0		0		7		
access_2							1		0		0		0		1		
access_button							1		0		0		0		1		
access_control							80		0		0		0		10		
access_enforcement						2		0		0		0		2		
access_notice							1		0		0		1		0		
access_point							10		0		0		0		4		
access_ref							1		0		0		0		1		
access_restrictions						1		0		0		0		1		
access_risk							1		0		0		0		1		
access_sdp							2728		0		0		0		2		
access_sign							408		0		0		9		26		
access_sign:direction						5		0		0		0		5		
accident							50		0		0		0		2		
accident:collision:at_fault					2		0		0		0		2		
accident:collision:cause					2		0		0		0		2		
accident:collision:cyclist					1		0		0		0		1		
accident:collision:date						4		0		0		0		2		
accident:collision:parties					4		0		0		2		0		
accident:collision:pedestrian					1		0		0		0		1		
accident:crash:date						2		0		0		0		2		
accident:crash:deathtoll					1		0		0		0		1		
accident:crash:initialspeed					1		0		0		0		1		
accident:crash:injured						1		0		0		0		1		
accident:crash:location						1		0		0		0		1		
accident:crash:parties						1		0		0		1		0		
accident:deathtoll						2		0		0		0		1		
accn								1		0		0		0		1		
accommodation							203		0		0		0		12		
accomodation							26		0		0		0		7		
accor_ticket							5		0		0		0		1		
accor_ticket_acceptant						11		0		0		0		2		
accor_ticket_restaurant						1		0		0		0		1		
accountant							6		0		0		0		4		
account_statement						2		0		0		0		1		
accreditation							2		0		0		0		2		
accuracy							3776		0		0		0		120		
accuracy o							4		0		0		0		2		
accuracy:along							1		0		0		0		1		
accuracy:east							6		0		0		0		5		
accuracy:ellipsoid						6		0		0		0		6		
accuracy:horizontal						1		0		0		0		1		
accuracy:north							6		0		0		0		6		
accuracy:vertical						1		0		0		0		1		
acidity								1		0		0		0		1		
acma.gov.au:site_id						17		0		0		0		16		
acoustic							125		0		0		0		1		
acqueduct							1		0		0		0		1		
acquisti							1		0		0		0		1		
acres								2		0		0		0		2		
action								3		0		0		0		2		
action:id							16		0		0		0		16		
activation							3		0		0		0		2		
active								31		0		0		0		2		
active_traffic							1		0		0		0		1		
activite							9		0		0		0		2		
activities							62		0		0		0		5		
activity							18		0		0		0		11		
activity:dating							5		0		0		0		1		
activity:type							6		0		0		0		6		
actuator							511		4		0		0		7		
adaptive_parking_height						1		0		0		0		1		
add								324		0		0		0		17		
add:place							17		0		0		0		14		
added								3		0		0		0		3		
added_by							14		0		0		0		1		
addiction							1		0		0		1		0		
addr								2281		0		0		1		2151		
addr.source:city						45		0		0		0		1		
addr.source:country						3		0		0		0		1		
addr.source:housenumber						73		0		0		0		1		
addr.source:place						1		0		0		0		1		
addr.source:street						63		0		0		0		1		
addr1:housenumber						3		0		0		0		3		
addr1:street							3		0		0		0		3		
addr2								14		0		0		0		8		
addr2:city							9		0		0		0		2		
addr2:country							8		0		0		0		1		
addr2:door							44		0		0		0		42		
addr2:hamlet							43		0		0		0		4		
addr2:housename							4		0		0		0		4		
addr2:housenumber						790		0		0		0		250		
addr2:housenumber2						1		0		0		0		1		
addr2:place							3		0		0		0		2		
addr2:postcode							10		0		0		0		5		
addr2:street							824		0		0		0		196		
addr2:suburb							2		0		0		0		1		
addr2:unit							2		0		0		0		2		
addr3								13		0		0		0		2		
addr3:housenumber						182		0		0		0		95		
addr3:street							181		0		0		0		14		
addr4:housenumber						80		0		0		0		38		
addr4:street							80		0		0		0		4		
addr5:housenumber						2		0		0		0		2		
addr5:street							2		0		0		0		1		
addr:								13		0		0		0		10		
addr:1								1		0		0		0		1		
addr:1:housenumber						1		0		0		0		1		
addr:2:housenumber						9		0		0		0		7		
addr:2:street							6		0		0		0		5		
addr:accessvia							1		0		0		0		1		
addr:additionalnumber						1		0		0		0		1		
addr:additionnal						1		0		0		0		1		
addr:all							79		0		0		0		76		
addr:alley							12		0		0		0		5		
addr:alternate							3		0		0		0		3		
addr:alternatenumber						9		0		0		0		9		
addr:alternative						4		0		0		0		2		
